Filename,Gate count,Depth,2qb gate count,2qb depth
pf1_50_before.qasm,1300,851,300,300
pf1_50_after.qasm,750,456,300,300
sf_274.qasm,781,436,336,300
sf_276.qasm,778,435,336,301
pf2_30_before.qasm,1530,1021,360,360
con1_216.qasm,954,508,415,346
wim_266.qasm,986,514,427,352
rd53_130.qasm,1043,569,448,383
pf2_40_before.qasm,2040,1361,480,480
pf2_20_after.qasm,1280,652,520,418
f2_232.qasm,1206,668,525,449
cm152a_212.qasm,1221,684,532,461
rd53_251.qasm,1291,712,564,492
hwb5_53.qasm,1336,758,598,535
pf2_50_before.qasm,2550,1701,600,600
pf4_10_before.qasm,2550,1705,600,600
cm42a_207.qasm,1776,940,771,634
pm1_249.qasm,1776,940,771,634
pf2_30_after.qasm,1920,952,780,618
dc1_220.qasm,1914,1038,833,705
squar5_261.qasm,1993,1049,869,720
pf2_40_after.qasm,2560,1252,1040,818
pf4_20_before.qasm,5100,3405,1200,1200
pf4_10_after.qasm,2920,1624,1220,1010
pf2_50_after.qasm,3200,1552,1300,1018
sqrt8_260.qasm,3009,1659,1314,1121
z4_268.qasm,3073,1644,1343,1112
radd_250.qasm,3213,1781,1405,1210
adr4_197.qasm,3439,1839,1498,1249
sym6_145.qasm,3888,2187,1701,1499
pf4_30_before.qasm,7650,5105,1800,1800
misex1_241.qasm,4813,2676,2100,1797
rd73_252.qasm,5321,2867,2319,1963
pf4_20_after.qasm,5840,3004,2440,1930
cycle10_2_110.qasm,6050,3386,2648,2276
hwb6_56.qasm,6723,3736,2952,2559
square_root_7.qasm,7630,3847,3089,2520
pf4_30_after.qasm,8760,4384,3660,2850
ham15_107.qasm,8763,4819,3858,3273
dc2_222.qasm,9462,5242,4131,3518
